File Name,Composition Title
Schumann-Variation-IV.pdf,"Variations on a Theme of Robert Schumann, Op.20 Variation IV - Clara Schumann"
SG-Tucker-Bullfinch-Sonata-mm12-15.pdf,"Sonata for Solo Recorder (""The Bullfinch""), mm.12-15 - Tui St. George Tucker"
SG-Tucker-Libera-Me-mm54-59.pdf,"Libera Me from Requiem, mm.54-59 - Tui St. George Tucker"
SG-Tucker-Mountain-Road-pg2.pdf,"On A Mountain Road at Summer's End, pg.2 - Tui St. George Tucker"
Smyth-French-melodies-mm6-16.pdf,"Two Interlinked French Folk Songs, mm.6-16 - Ethel Smyth"
Smyth-March-of-the-Women.pdf,March of the Women (1910) - Ethyl Smyth
Smyth-String-Quartet-mvt4-fugue-expo.pdf,"String Quartet in E Minor mvt.4, mm.1-26 - Ethel Smyth"
Smyth-String-Quartet-mvt4-fugue-theme.pdf,"String Quartet in E Minor mvt.4, mm.1-4 - Ethel Smyth"
Strozzi-Merce-di-voi-mm1-15.pdf,"Mercé di voi from 1st Book of Madrigals, Op.1 mm.1-15 - Barbara Strozzi"
Strozzi-Merce-di-voi-mm66-76.pdf,"Mercé di voi from Primo libro de' madrigali Op.1, mm.66-76 - Barbara Strozzi"
Tailleferre-Berceuse.pdf,Berceuse - Germaine Tailleferre
Tailleferre-String-Quartet-MvtI.pdf,"String Quartet, Mvt.I (1919) - Germaine Tailleferre"
Tailleferre-String-Quartet-MvtII.pdf,"String Quartet, Mvt.II (1919) - Germaine Tailleferre"
Tailleferre-String-Quartet-MvtIII.pdf,"String Quartet, Mvt.III (1919) - Germaine Tailleferre"
Tegner-Violin-Sonata-mvt1.pdf,"Violin Sonata in A Minor, Mvt.I - Alice Tegnér"
Tegner-Violin-Sonata-mvt2.pdf,"Violin Sonata in A Minor, Mvt.II - Alice Tegnér"
Tegner-Violin-Sonata-mvt3.pdf,"Violin Sonata in A Minor, Mvt.III - Alice Tegnér"
Tegner-Violin-Sonata-mvt4.pdf,"Violin Sonata in A Minor, Mvt.IV - Alice Tegnér"
Von-Paradis-Sicilienne-1-11.pdf,Sicilienne mm.1-11 - Maria Theresia von Paradis
Westenhols-Das-Grab.pdf,"Das Grab from 12 Deutsche Lieder, Op.4 - Sophia Maria Westenholz"
Wilhelmine-Un-certo-freddo-orrore.pdf,Un certo freddo orrore from Argenore - Wilhelmine of Prussia
